rmse,rmse1,rmse2,seq
3.794472576255001,6.094938873453156,6.0469315942981625,4.0
5.0865739301171216,6.075511549978383,6.082500347526331,6.0
5.56463504536655,6.44528100935377,6.167337113002282,8.0
5.800717481017247,6.833651684823329,6.262336808703685,10.0
5.844545311942393,6.17161608303216,6.076832271903582,12.0
6.013624746240644,6.161817322516684,6.957239475381281,16.0
